screen_name|date|tweet
EmmanuelMacron|2020-01-25 21:58:32|我向所有在法国和世界各地庆祝农历新年的人们，致以诚挚祝福。
EmmanuelMacron|2020-01-25 21:58:32|À toutes celles et ceux qui, en France et partout dans le monde, célèbrent le Nouvel An lunaire, je transmets tous mes vœux.
EmmanuelMacron|2020-01-25 20:08:34|La France se tient aux côtés de la Turquie face au séisme survenu hier. Mes pensées vont aux victimes et à leurs proches. Nous sommes solidaires et prêts à apporter notre soutien.
EmmanuelMacron|2020-01-24 20:56:21|La France soutient l’organisation rapide d’une élection présidentielle libre et transparente. Nous respectons la souveraineté et la liberté du peuple vénézuélien et nous restons à ses côtés face à la crise humanitaire qu’il subit. https://t.co/QMdqtwxMDk
EmmanuelMacron|2020-01-24 20:55:49|Échange constructif avec @jguaido réélu à la présidence de l’@AsambleaVE. https://t.co/p0O0HOWCZt
EmmanuelMacron|2020-01-23 18:11:15|L'Europe doit se tenir unie. Ne jamais oublier. Ne jamais se diviser. C'est aussi cela notre enseignement. #WorldHolocaustForum https://t.co/ZtPPW3SmeI
EmmanuelMacron|2020-01-23 17:43:44|L’antisémitisme n’est pas seulement le problème des Juifs. C’est d’abord le problème des autres. Nous ne laisserons pas faire. La promesse de la France est bien une promesse de souvenir et d'action. Zakhor, Al Tichkah. Souviens-toi, n'oublie jamais. https://t.co/gSzBo5z65z
EmmanuelMacron|2020-01-23 17:39:13|Sur l'assassinat de Sarah Halimi, le Président de la République n'a pas à remettre en cause une décision de justice. J'ai entendu votre colère, votre émoi. La question de la responsabilité pénale est celle des juges, la question de l'antisémitisme, celle de la République.
EmmanuelMacron|2020-01-23 13:46:19|"EN DIRECT | Commémoration du 75e anniversaire de libération du camp de concentration d’Auschwitz-Bikernau, depuis Jérusalem.
https://t.co/Wh93BVdaTD"
EmmanuelMacron|2020-01-22 20:06:38|Ici vivent les trois grandes religions du Livre, ensemble, à travers des lieux qui ont marqué leur propre Histoire. Le rôle de la France, par la laïcité, c'est de dire que reconnaître la part de chacun avec calme, respect, c'est un pas vers la capacité à vivre ensemble, en paix. https://t.co/rycm52OFAY
EmmanuelMacron|2020-01-22 18:08:16|Dans cette région bousculée par les divisions, la place des chrétiens d'Orient est importante. Là où ils sont menacés, la vocation de la France est de les aider. Nous allons lancer un fond pour accompagner les écoles qui forment 400 000 jeunes à travers toute la région.
